city,country,lat,lng,population
Manado,Indonesia,1.4931,124.8413,461636
Kaiyuan,China,42.546,124.038,460927
Cranbourne,Australia,-38.0996,145.2834,460491
Jalgaon,India,21.004,75.568,460468
Madison,United States,43.0822,-89.393,460255
Chhatarpur,India,24.55,79.3527,459943
Fukuyama,Japan,34.4858,133.3622,459576
Juba,South Sudan,4.83,31.58,459342
Lanús,Argentina,-34.7,-58.4,459263
Spokane,United States,47.6671,-117.433,458988
Ta‘izz,Yemen,13.5789,44.0219,458789
Long Beach,United States,33.7977,-118.167,458491
Kikwit,Congo (Kinshasa),-5.0386,18.8181,458000
Pyeongtaek,"Korea, South",36.9922,127.1128,457873
Kurnool,India,15.83,78.05,457633
Marikina City,Philippines,14.65,121.1,456059
Kâğıthane,Turkey,41.0719,28.9664,455943
Amagasaki,Japan,34.7333,135.4,455555
Melaka,Malaysia,2.2064,102.2465,455300
Denton,United States,33.2175,-97.1418,455152
Ciudad General Escobedo,Mexico,25.7933,-100.1583,454967
Reno,United States,39.5497,-119.8483,454814
Manizales,Colombia,5.0675,-75.51,454494
Bornova,Turkey,38.4697,27.2211,454470
Puerto La Cruz,Venezuela,10.2,-64.6333,454312
Kahama,Tanzania,-3.8375,32.6,453654
Hsinchu,Taiwan,24.8167,120.9833,453536
Gaoping,China,35.798,112.924,453054
Batman,Turkey,37.887,41.132,452157
Demiryol,Turkey,37.887,41.132,452157
Erköklü,Turkey,37.887,41.132,452157
Avcılar,Turkey,40.9792,28.7214,452132
Kota Kinabalu,Malaysia,5.98,116.11,452058
Katsushika-ku,Japan,35.7333,139.85,451772
Udaipur,India,24.58,73.68,451100
Mogi das Cruzes,Brazil,-23.5228,-46.1931,450785
Stavropol,Russia,45.05,41.9833,450680
General Trias,Philippines,14.38,120.88,450583
Warder,Ethiopia,6.9667,45.35,450400
Sirājganj,Bangladesh,24.45,89.7167,450000
Wāpi,India,20.372,72.917,450000
Bắc Giang,Vietnam,21.2667,106.2,450000
Boise,United States,43.6005,-116.2308,449428
Zürich,Switzerland,47.3744,8.5411,448664
Constantine,Algeria,36.35,6.6,448374
Nam Định,Vietnam,20.42,106.1683,448225
Eslāmshahr,Iran,35.5386,51.2228,448129
Rājshāhi,Bangladesh,24.3667,88.6,448087
Piraeus,Greece,37.943,23.6469,448051
Matadi,Congo (Kinshasa),-5.8167,13.4833,448000
Zebediela,South Africa,-24.31,29.27,448000
Shah Latif Town,Pakistan,24.8806,67.1625,447993
Tanbei,China,35.088,112.951,447487
Londrina,Brazil,-23.31,-51.1628,447065
Ado-Ekiti,Nigeria,7.6211,5.2214,446749
Bonita Springs,United States,26.3558,-81.7859,445500
Esenler,Turkey,41.0339,28.8903,445421
Sochi,Russia,43.5853,39.7203,444989
Santiago de Cuba,Cuba,20.0217,-75.8294,444851
Rodriguez,Philippines,14.72,121.12,443954
Chauddagram,Bangladesh,23.2244,91.3731,443648
San Nicolás de los Garza,Mexico,25.75,-100.2833,443273
Taoyuan District,Taiwan,24.9913,121.3143,443273
Kissimmee,United States,28.3041,-81.4169,442790
Baisha,China,29.4896,119.337,442709
Ndjili,Congo (Kinshasa),-4.4089,15.3775,442138
Mathura,India,27.4925,77.6736,441894
Meicheng,China,30.631,116.581,441224
Lembok,Indonesia,-8.565,116.351,441147
Korhogo,Côte d’Ivoire,9.4578,-5.6294,440926
Pasay City,Philippines,14.5439,120.995,440656
Beipiao,China,41.801,120.771,439998
Jiannan,China,31.3333,104.2,439958
Halifax,Canada,44.6475,-63.5906,439819
Fujisawa,Japan,35.35,139.4667,439728
Augusta,United States,33.3645,-82.0708,439361
Ulan-Ude,Russia,51.8333,107.6,439128
Springfield,United States,42.1155,-72.5395,438889
Laval,Canada,45.5833,-73.75,438366
Oakland,United States,37.7904,-122.2166,438072
Jinchang,China,38.5214,102.188,438026
Sunch’ŏn,"Korea, North",39.4167,125.9333,437000
Nehe,China,48.4833,124.8833,436906
Kursk,Russia,51.7167,36.1833,436678
Sāngli,India,16.853,74.583,436639
Lobito,Angola,-12.35,13.5464,436467
Jeju,"Korea, South",33.513,126.523,435413
Zhuangyuan,China,37.3056,120.829,435405
Davangere,India,14.4666,75.9242,435125
Jian’ou,China,27.0333,118.3167,434451
Machida,Japan,35.5542,139.4431,434414
Winston-Salem,United States,36.1029,-80.261,434231
Sanghar,Pakistan,26.0442,68.9536,434087
Chang’an,China,29.4768,113.4504,433200
Al Marāghah,Egypt,26.6998,31.6046,432678
Bandung,Indonesia,-6.912,107.6097,432557
Shahe,China,36.8549,114.5033,431746
Calicut,India,11.2588,75.7804,431560
Windhoek,Namibia,-22.57,17.0836,431000
Joinvile,Brazil,-26.3039,-48.8458,429604
Ismailia,Egypt,30.5833,32.2667,429465
Cusco,Peru,-13.525,-71.9722,428450
Veracruz,Mexico,19.1903,-96.1533,428323
Sokoto,Nigeria,13.0833,5.25,427760
Kashiwa,Japan,35.8676,139.9758,427603
Al Bājūr,Egypt,30.4305,31.0368,427017
Yan’an Beilu,China,44.0144,87.2674,426253
Mothīhāri,India,26.65,84.9167,426158
Aomori,Japan,40.8228,140.7469,425962
Tepic,Mexico,21.5083,-104.8931,425942
Akola,India,20.7,77,425817
Mandaluyong City,Philippines,14.58,121.03,425758
Aves,Portugal,41.3703,-8.4101,425411
Sihŭng,"Korea, South",37.3799,126.8029,425184
Burco,Somalia,9.5221,45.5336,425000
Tver,Russia,56.8625,35.9242,424969
Xalapa,Mexico,19.54,-96.9275,424755
Buenaventura,Colombia,3.8772,-77.0267,423927
London,Canada,42.9836,-81.2497,423369
Piracicaba,Brazil,-22.7252,-47.6493,423323
Tétouan,Morocco,35.5667,-5.3667,422757
Yogyakarta,Indonesia,-7.8014,110.3644,422732
Ciudad Bolívar,Venezuela,8.1219,-63.55,422578
Skopje,North Macedonia,41.9961,21.4317,422540
Beining,China,41.6,121.8,422289
Toyota,Japan,35.0824,137.1563,422106
Daloa,Côte d’Ivoire,6.89,-6.45,421871
Uijeongbu,"Korea, South",37.7486,127.0389,421579
Hpa-An,Burma,16.8906,97.6333,421525
Laohekou,China,32.359,111.684,420495
Rahimyar Khan,Pakistan,28.42,70.3,420419
Ugep,Nigeria,5.8,8.0833,420000
Thái Nguyên,Vietnam,21.6,105.85,420000
Seremban,Malaysia,2.7105,101.94,419536
Kayapınar,Turkey,37.95,40.1667,419513
Campina Grande,Brazil,-7.2306,-35.881100000000004,419379
Xicheng,China,23.3667,103.15,419314
Kowloon City,Hong Kong,22.3282,114.1916,418732
Santos,Brazil,-23.9608,-46.3339,418608
Tirana,Albania,41.3272,19.8186,418495
Kushtia,Bangladesh,23.9,89.12,418312
El Obeid,Sudan,13.1833,30.2167,418280
Mauá,Brazil,-23.6678,-46.4608,418261
Xingren,China,25.435,105.1862,417919
Takamatsu,Japan,34.35,134.05,417814
Stockton,United States,37.9765,-121.3109,416005
Ajdābiyā,Libya,30.77,20.22,416000
Callao,Peru,-12.0522,-77.1392,415888
Awsīm,Egypt,30.1222,31.1333,415735
Shinagawa-ku,Japan,35.6,139.7333,415729
Paju,"Korea, South",37.8667,126.8,415345
Beylikdüzü,Turkey,41.0011,28.6419,415290
Việt Trì,Vietnam,21.3,105.4333,415280
Santa Rosa,Philippines,14.32,121.12,414812
Nagqu,China,31.476,92.051,414554
Bettiah,India,26.8014,84.5028,414453
Jhang City,Pakistan,31.2694,72.3161,414131
Fujin,China,47.25,132.0333,414090
Altındağ,Turkey,39.9636,32.9033,413994
Yuanping,China,38.731,112.711,413922
Talā,Egypt,30.6798,30.9436,413839
Ţalkhā,Egypt,31.0592,31.3767,413584
Boa Vista,Brazil,2.82,-60.6719,413486
Banjul,"Gambia, The",13.4581,-16.5786,413397
Jayapura,Indonesia,-2.533,140.717,413283
Toyama,Japan,36.6959,137.2137,413028
Sanandaj,Iran,35.3114,46.9961,412767
Khon Kaen,Thailand,16.4333,102.8333,412758
Linghai,China,41.1667,121.35,412513
Shorāpur,India,16.52,76.76,412291
Koumassi,Côte d’Ivoire,5.2972,-3.9675,412282
Durham,United States,35.9792,-78.9022,411362
Tinnevelly,India,8.7136,77.7567,411298
Pasto,Colombia,1.2078,-77.2772,410835
Chattanooga,United States,35.066,-85.2481,410795
Bellary,India,15.1,76.9167,410445
Bhāgalpur,India,25.25,87,410210
Danjiangkou,China,32.5401,111.5131,409940
Kisumu,Kenya,-0.1,34.75,409928
Zhangjiakou Shi Xuanhua Qu,China,40.5944,115.0243,409745
Maringá,Brazil,-23.425,-51.9389,409657
Manampizha,India,9.2972,76.65,409271
Kocasinan,Turkey,38.7333,35.4833,409005
Mataram,Indonesia,-8.5833,116.1167,408900
Magnitogorsk,Russia,53.3833,59.0333,408715
Greenville,United States,34.8354,-82.3646,408626
Zhijiang,China,30.426,111.761,408487
Zaria,Nigeria,11.0667,7.7,408198
Lancaster,United States,40.042,-76.3012,408023
Fenyang,China,37.2616,111.7699,407647
Syracuse,United States,43.0407,-76.1437,407625
Biñan,Philippines,14.33,121.08,407437
Gebze,Turkey,40.8,29.4333,407019
Shashemenē,Ethiopia,7.2,38.6,407000
Fangting,China,31.127,104.167,406775
Shulan,China,44.4059,126.9655,406744
Wanyuan,China,31.9833,107.9667,406685
Jiexiu,China,37.027,111.917,406517
Hat Yai,Thailand,7.0167,100.4667,406513
Bağlar,Turkey,37.9167,40.1833,406471
Sham Shui Po,Hong Kong,22.3307,114.1622,405869
Santa Fe,Argentina,-31.6333,-60.7,405683
Delhi Cantonment,India,28.6,77.1333,405633
Cumaná,Venezuela,10.4564,-64.1675,405626
Fayetteville,United States,36.0714,-94.1661,405556
Barura,Bangladesh,23.3683,91.0484,405118
Kumi,"Korea, South",36.1195,128.3444,404691
Nagasaki,Japan,32.7447,129.8736,404656
Al Ḩudaydah,Yemen,14.8022,42.9511,404062
Pencheng,China,29.676,115.681,403655
Salt Lake City,India,22.61,88.4,403316
Qazvīn,Iran,36.2886,50.0069,402748
Etāwa,India,24.18,78.2,402678
Sonīpat,India,28.99,77.022,402000
Jundiaí,Brazil,-23.1864,-46.8842,401896
Pensacola,United States,30.4413,-87.1911,401535
Bogra,Bangladesh,24.851,89.3711,400983
Brno,Czechia,49.1925,16.6083,400566
Öskemen,Kazakhstan,49.9833,82.6167,400142
Gifu,Japan,35.4232,136.7608,400118
Montería,Colombia,8.75,-75.8833,400000
Maungdaw,Burma,20.8167,92.3667,400000
Igboho,Nigeria,8.8333,3.75,400000
Yüreğir,Turkey,36.9928,35.3764,399910
Pingquan,China,41.0184,118.702,399378
Toyonaka,Japan,34.7833,135.4667,399263
Dera Ghazi Khan,Pakistan,30.0331,70.64,399064
Hatay,Turkey,36.2025,36.1606,399045
Luhansk,Ukraine,48.5678,39.3031,397677
Miyazaki,Japan,31.9078,131.4203,397476
Dangyang,China,30.821,111.789,397465
Quilon,India,8.8932,76.6141,397419
Mulangodi,India,9,76.6167,397419
Munro Turuttu,India,9,76.6167,397419
Barinas,Venezuela,8.6333,-70.2,397279
Gwangju,"Korea, South",37.3667,127.2833,397269
Nangong,China,37.359,115.409,396718
Hirakata,Japan,34.8167,135.65,396694
Sandakan,Malaysia,5.843,118.108,396290
Szczecin,Poland,53.4325,14.5481,396168
Surgut,Russia,61.25,73.4333,395900
Yongji,China,34.867,110.448,394935
Arlington,United States,32.6998,-97.125,394769
Karūr,India,10.9601,78.0766,394719
Betsiboka,Madagascar,-16.8667,46.95,394561
Ijebu-Ode,Nigeria,6.8208,3.9208,394246
Al Jahrā’,Kuwait,29.35,47.6833,393432
Tanga,Tanzania,-5.0742,39.0992,393429
Diadema,Brazil,-23.6858,-46.6228,393237
Saurimo,Angola,-9.65,20.4,393000
Jālna,India,19.841,75.8864,393000
Yola,Nigeria,9.23,12.46,392854
Zhugang,China,28.1358,121.2264,392800
Hejin,China,35.596,110.712,392561
Dunhua,China,43.3667,128.2333,392486
Tāngāil,Bangladesh,24.25,89.92,392300
Khayelitsha,South Africa,-34.0403,18.6778,391749
Ad Dīwānīyah,Iraq,31.9892,44.9247,391600
Nnewi,Nigeria,6.0167,6.9167,391227
San-Pédro,Côte d’Ivoire,4.7704,-6.64,390654
Gujrat,Pakistan,32.5739,74.0789,390533
Huili Chengguanzhen,China,26.6333,102.25,390531
Yokosuka,Japan,35,16,390275
Aurora,United States,39.7083,-104.7237,390201
Asyūţ,Egypt,27.1869,31.1714,389307
Gwoza,Nigeria,11.0861,13.6914,388600
Sampaloc,Philippines,14.6031,121.0022,388305
Saki,Nigeria,8.6667,3.4,388225
Bologna,Italy,44.4939,11.3428,387971
Aqtöbe,Kazakhstan,50.2836,57.2297,387807
Cilegon,Indonesia,-6.0027,106.0112,387543
Uvinza,Tanzania,-5.1069,30.3839,387442
Ḩafr al Bāţin,Saudi Arabia,28.4337,45.9601,387096
Elazığ,Turkey,38.6744,39.2228,387072
Zanjān,Iran,36.6864,48.4953,386851
Bairia,India,25.7583,84.1489,386745
Oyo,Nigeria,7.8417,3.9306,386723
Taytay,Philippines,14.5692,121.1325,386451
Kisenzi,Congo (Kinshasa),-4.4094,15.3425,386151
Bhātpāra,India,22.87,88.41,386019
Sintra,Portugal,38.7974,-9.3904,385606
Manisa,Turkey,38.6144,27.4292,385452
Sirūr,India,18.83,74.38,385414
Tarlac City,Philippines,15.4869,120.59,385398
Okazaki,Japan,34.9543,137.1744,385376
Ceel Baraf,Somalia,3.2072,45.7593,384630
Lingxi,China,27.5036,120.3975,384390
Ilesa,Nigeria,7.6167,4.7167,384334
Kākināda,India,16.9661,82.255,384182
Savar,Bangladesh,23.8482,90.2577,384093
Nuevo Laredo,Mexico,27.4861,-99.5069,384033
Lecheng,China,25.1333,113.3333,383498
Bawshar,Oman,23.5777,58.3998,383257
Christchurch,New Zealand,-43.5311,172.6361,383200
Gusau,Nigeria,12.15,6.6667,383162
Hancheng,China,35.4667,110.4333,383097
Zêtang,China,29.238,91.771,382610
Serekunda,"Gambia, The",13.445,-16.675,382096
Kanifing,"Gambia, The",13.4475,-16.6725,382096
Canberra,Australia,-35.2931,149.1269,381488
Minamisuita,Japan,34.7594,135.5169,381238
Malabon,Philippines,14.66,120.96,380522
Neiva,Colombia,2.9345,-75.2809,380019
Hà Tĩnh,Vietnam,18.3333,105.9,380000
Huancayo,Peru,-12.0667,-75.2167,378203
Celaya,Mexico,20.5222,-100.8122,378143
Ichinomiya,Japan,35.3039,136.8031,378108
Iquitos,Peru,-3.75,-73.25,377609
Pānihāti,India,22.69,88.37,377347
Lianzhou,China,24.781,112.377,377220
Cainta,Philippines,14.57,121.12,376933
Helixi,China,30.6267,118.9861,376857
Madīnat as Sādis min Uktūbar,Egypt,29.9361,30.9269,376302
Mamou,Guinea,10.3833,-12.0833,376269
Scranton,United States,41.4044,-75.6649,375462
Itaquaquecetuba,Brazil,-23.4864,-46.3486,375011
Cantonment,Pakistan,31.5167,74.3833,374872
Rohtak,India,28.8909,76.5796,374292
Māler Kotla,India,30.5167,75.8833,374000
Bhawana,Pakistan,31.5661,72.6461,373841
Oxnard,United States,34.1964,-119.1815,373423
Bryansk,Russia,53.2425,34.3667,373310
Lipa City,Philippines,13.9411,121.1622,372931
Butuan,Philippines,8.948,125.543,372910
Dikirnis,Egypt,31.089,31.5948,372871
Takasaki,Japan,36.3219,139.0033,372639
Ambon,Indonesia,-3.6967,128.1783,372249
Indio,United States,33.7346,-116.2346,371926
Malakwal,Pakistan,32.5531,73.2067,371869
Toyohashi,Japan,34.7692,137.3915,371507
Chitungwiza,Zimbabwe,-17.9939,31.0481,371244
Panshi,China,42.95,126.0667,370238
Az Zubayr,Iraq,30.3892,47.7081,370000
Bharatpur,Nepal,27.6833,84.4333,369377
Petare,Venezuela,10.4833,-66.8167,369000
Mardan,Pakistan,34.2012,72.0258,368302
Nagano,Japan,36.6486,138.1947,367184
Bauru,Brazil,-22.3147,-49.0606,366992
La Florida,Chile,-33.5333,-70.5833,366916
Nicolás Romero,Mexico,19.5833,-99.3667,366602
Jinshan,China,25.1475,101.9764,366512
Bochum,Germany,51.4819,7.2158,366385
Baguio City,Philippines,16.4119,120.5933,366358
Cibinong,Indonesia,-6.485,106.842,365387
Sivas,Turkey,39.75,37.0167,365274
Kolga,India,22.35,82.68,365253
Korba,India,22.3458,82.6963,365253
Qardho,Somalia,9.5004,49.166,365000
Rio Branco,Brazil,-9.9781,-67.8117,364756
Tecámac,Mexico,19.7131,-98.9683,364579
Alanya,Turkey,36.55,32,364180
Mandaue City,Philippines,10.33,123.93,364116
Victorville,United States,34.5277,-117.3536,363596
Kocaeli,Turkey,40.7625,29.9175,363416
Warri,Nigeria,5.5167,5.75,363382
Victoria,Canada,48.4283,-123.3647,363222
Wŏnsan,"Korea, North",39.1475,127.4461,363127
Iligan,Philippines,8.23,124.25,363115
Anguo,China,38.418,115.327,363091
Coventry,United Kingdom,52.4081,-1.5106,362690
Trenton,United States,40.2237,-74.7641,362501
Keelung,Taiwan,25.1333,121.7333,362487
Geita,Tanzania,-2.8714,32.2294,361671
Ivanovo,Russia,56.9967,40.9819,361644
Cuenca,Ecuador,-2.8974,-79.0045,361524
Caerdydd,United Kingdom,51.4817,-3.1792,361469
Blumenau,Brazil,-26.9189,-49.0658,361261
Nanqiao,China,30.9167,121.4547,361185
Hrodna,Belarus,53.6667,23.8333,361115
Florence,Italy,43.7714,11.2542,360930
Buurhakaba,Somalia,2.7837,44.0833,360795
Bengkulu,Indonesia,-3.7956,102.2592,360495
Caxias do Sul,Brazil,-29.1678,-51.1789,360419
Malmö,Sweden,55.5833,13.0333,360249
Shuanghe,China,30.3746,106.7903,360000
Pétion-Ville,Haiti,18.5098,-72.2856,359615
Dengtacun,China,41.4333,123.3333,359401
Huntsville,United States,34.6981,-86.6412,359389
Utrecht,Netherlands,52.0908,5.1217,359370
Palu,Indonesia,-0.895,119.8594,359350
Sīkar,India,27.62,75.15,359293
Umuahia,Nigeria,5.5333,7.4833,359230
Wuppertal,Germany,51.2667,7.1833,358938
Palmira,Colombia,3.5833,-76.25,358895
Alicante,Spain,38.3453,-0.4831,358720
São José do Rio Prêto,Brazil,-20.82,-49.3789,358523
Ash Shuhadā’,Egypt,30.596800000000002,30.8993,358486
Ondo,Nigeria,7.0833,4.8333,358430
Vitsyebsk,Belarus,55.1917,30.2056,358395
Sasarām,India,24.95,84.03,358283
Sultanbeyli,Turkey,40.9683,29.2617,358201
Xunyang,China,32.8341,109.3653,357876
Taraz,Kazakhstan,42.9,71.3667,357795
Cubal,Angola,-13.0333,14.25,357618
Anda,China,46.424,125.352,357535
Luena,Angola,-11.7918,19.9062,357413
Karnāl,India,29.686,76.989,357334
Gonaïves,Haiti,19.4456,-72.6883,356324
Vinnytsia,Ukraine,49.2333,28.4833,356303
Minatitlán,Mexico,17.9833,-94.55,356020
Linxia Chengguanzhen,China,35.6047,103.2422,355968
Brahmapur,India,19.315,84.7941,355823
Modesto,United States,37.6375,-121.0028,355686
Caucaia,Brazil,-3.7328,-38.6558,355679
Cabuyao,Philippines,14.275,121.125,355330
Gedaref,Sudan,14.0333,35.3833,354927
San Fernando,Philippines,15.03,120.68,354666
Kawagoe,Japan,35.9251,139.4858,354598
Pokhara,Nepal,28.2097,83.9853,353841
Nice,France,43.7034,7.2663,353701
Villahermosa,Mexico,17.9892,-92.9281,353577
Wakayama,Japan,34.2333,135.1667,353299
Mahilyow,Belarus,53.9167,30.35,353110
Osh,Kyrgyzstan,40.5333,72.7833,353080
Kita-ku,Japan,35.75,139.7333,353058
Gimpo,"Korea, South",37.7,126.6,352683
Corrientes,Argentina,-27.4833,-58.8167,352646
Thari Mir Wah,Pakistan,27.0683,68.6023,352491
Nara,Japan,34.6844,135.805,352377
Vladimir,Russia,56.1286,40.4058,352347
Sinŭiju,"Korea, North",40.1,124.4,352000
Oruro,Bolivia,-17.9667,-67.1167,351802
Arkhangelsk,Russia,64.5431,40.5375,351488
Batangas,Philippines,13.83,121,351437
Ahmadnagar,India,19.08,74.73,350859
Varna,Bulgaria,43.2114,27.9111,350745
Tarsus,Turkey,36.9165,34.8951,350732
Sarıyer,Turkey,41.1669,29.0572,350454
Semey,Kazakhstan,50.4333,80.2667,350201
Holguín,Cuba,20.8872,-76.2631,350191
Tungi,Bangladesh,23.8915,90.4023,350000
Godē,Ethiopia,5.9527,43.5516,350000
Sawrān,Iraq,36.6532,44.5441,350000
An Nhơn,Vietnam,13.917,109.083,350000
Olinda,Brazil,-8.0089,-34.855,349976
Praia Grande,Brazil,-24.0058,-46.4028,349935
Shinjuku,Japan,35.7014,139.7097,349385
Antofagasta,Chile,-23.65,-70.4,348517
Meram,Turkey,37.8364,32.4383,348325
Cascavel,Brazil,-24.9558,-53.4553,348051
Pamukkale,Turkey,37.9167,29.1167,347926
Canoas,Brazil,-29.92,-51.18,347657
Takatsuki,Japan,34.8461,135.6175,347496
Yidu,China,30.378,111.45,347388
António Enes,Mozambique,-16.2308,39.9105,347175
Plovdiv,Bulgaria,42.1434,24.751,346893
Central Coast,Australia,-33.3,151.2,346596
Honolulu,United States,21.3294,-157.846,346323
Karşıyaka,Turkey,38.4594,27.1153,346264
Shāhjānpur,India,27.88,79.91,346103
Gwagwalada,Nigeria,8.9392,7.0758,346000
Āvadi,India,13.1147,80.1098,345996
Tanch’ŏn,"Korea, North",40.458,128.911,345875
Greensboro,United States,36.0956,-79.8271,345858
Khānāpur,India,15.6394,74.5083,345839
Wad Medani,Sudan,14.4,33.51,345290
Fort Wayne,United States,41.0888,-85.1436,345279
Kūstī,Sudan,13.17,32.66,345068
Belfast,United Kingdom,54.5967,-5.93,345006
Cuddapah,India,14.47,78.82,344893
Nakano,Japan,35.7074,139.6638,344880
Yong’an,China,25.942,117.365,344793
Alamādi,India,13.1097,80.0972,344701
Carapicuíba,Brazil,-23.5228,-46.8358,344596
Anaheim,United States,33.839,-117.8574,344553
Brest,Belarus,52.1347,23.6569,344470
Ōtsu,Japan,35.0167,135.85,343991
Maseru,Lesotho,-29.31,27.48,343541
Pavlodar,Kazakhstan,52.3,76.95,343091
Chon Buri,Thailand,13.3611,100.985,342959
Naga City,Philippines,13.6244,123.1864,342769
Vahdat,Tajikistan,38.5531,69.0206,342700
Florianópolis,Brazil,-27.5933,-48.553,342315
Paulista,Brazil,-7.9408,-34.8728,342167
Sfax,Tunisia,34.74,10.76,341999
Rājahmundry,India,16.98,81.78,341831
Koshigaya,Japan,35.8911,139.7909,341784
Hongjiang,China,27.191,109.819,341706
Yeşilyurt,Turkey,38.2961,38.2489,341654
Vũng Tàu,Vietnam,10.3833,107.1167,341552
Jeonju,"Korea, South",35.8167,127.15,341545
Alwar,India,27.5498,76.6355,341422
Huadian,China,42.972,126.746,341308
Tokorozawa,Japan,35.7996,139.4686,341289
Sumqayıt,Azerbaijan,40.5961,49.67,341200
Vitória da Conquista,Brazil,-14.8661,-40.8394,341128
Yamoussoukro,Côte d’Ivoire,6.8161,-5.2742000000000004,340234
Buôn Ma Thuột,Vietnam,12.6667,108.05,340000
Corpus Christi,United States,27.7254,-97.3767,339432
Fort Collins,United States,40.5477,-105.0656,339256
Mishan,China,45.5298,131.8466,339103
Makiivka,Ukraine,48.0556,37.9611,338968
Islip,United States,40.7385,-73.1888,338784
Cuernavaca,Mexico,18.9186,-99.2342,338650
Markham,Canada,43.8767,-79.2633,338503
Bielefeld,Germany,52.0211,8.5347,338410
Bydgoszcz,Poland,53.1219,18.0003,337666
Chinju,"Korea, South",35.2,128.0833,337230
Reading,United Kingdom,51.4542,-0.9731,337108
Randburg,South Africa,-26.0936,28.0064,337053
Iwaki,Japan,37.0505,140.8877,336111
Oshawa,Canada,43.9,-78.85,335949
Bonn,Germany,50.7353,7.1022,335789
Sambalpur,India,21.47,83.97,335761
Santo Domingo de los Colorados,Ecuador,-0.2542,-79.1719,334826
Uruapan,Mexico,19.4208,-102.0628,334749
Lublin,Poland,51.25,22.5667,334681
Porto Velho,Brazil,-8.7619,-63.9039,334661
Licheng,China,24.5,110.4,334527
Huichang,China,34.9073,112.7914,334213
Tampere,Finland,61.4981,23.76,334112
Antioch,United States,37.9787,-121.796,333347
Muzaffarpur,India,26.1225,85.3906,333200
Chita,Russia,52.05,113.4667,333159
Viña del Mar,Chile,-33.0244,-71.5517,332875
Khipro,Pakistan,25.823,69.377,332833
Asan,"Korea, South",36.7836,127.0042,332790
Nukus,Uzbekistan,42.4667,59.6,332500
Chak Jhumra,Pakistan,31.5667,73.1833,332461
Simferopol,Ukraine,44.9519,34.1022,332317
Konak,Turkey,38.4189,27.1285,332277
Soledad de Graciano Sánchez,Mexico,22.1833,-100.9333,332072
Şalālah,Oman,17.0197,54.0897,331949
Santarém,Brazil,-2.4431,-54.7083,331937
Yanbu‘,Saudi Arabia,24.0523,38.1503,331916
Maebashi,Japan,36.3895,139.0634,331849
Kaluga,Russia,54.55,36.2833,331842
Gəncə,Azerbaijan,40.6828,46.3606,331400
Asahikawa,Japan,43.7667,142.3667,331392
Jackson,United States,32.3157,-90.2125,331332
Kendari,Indonesia,-3.9907,122.5086,331013
Wŏnju,"Korea, South",37.3417,127.9208,330854
Birkat as Sab‘,Egypt,30.6291,31.0824,330847
Lafia,Nigeria,8.4917,8.5167,330712
Dahūk,Iraq,36.85,42.9833,330600
Nizhniy Tagil,Russia,57.9167,59.9667,330507
Finglas,Ireland,53.3892,-6.2969,330506
Kāmārhāti,India,22.6686,88.3704,330211
Nicosia,Cyprus,35.1725,33.365,330000
Lengshuijiang,China,27.686,111.436,329912
Ribeirão das Neves,Brazil,-19.7669,-44.0869,329794
Guédiawaye,Senegal,14.7724,-17.3884,329659
Ciudad Obregón,Mexico,27.4939,-109.9389,329404
Campīernagar,India,27.029,83.2668,329104
Phatthaya,Thailand,12.9357,100.889,328961
Minzhu,China,43.7238,127.3448,328925
Belgorod,Russia,50.6,36.6,328482
Gómez Palacio,Mexico,25.5611,-103.4983,327985
Bijāpur,India,16.83,75.71,327427
Cabanatuan City,Philippines,15.4908,120.9678,327325
Si Racha,Thailand,13.174,100.93,327172
Salamanca,Mexico,20.5703,-101.1972,327169
Ratnāgiri,India,16.9944,73.3,327120
Ulanhot,China,46.0722,122.0933,327081
Chipata,Zambia,-13.6453,32.6464,327059
Koriyama,Japan,37.4004,140.3597,327040
Yunzhong,China,39.8279,113.1,326849
Fayetteville,United States,35.085,-78.9772,326821
Arnavutköy,Turkey,41.1856,28.7406,326452
Küçükçekmece,Turkey,41,28.8,326452
Roodepoort,South Africa,-26.1625,27.8725,326416
Pucallpa,Peru,-8.3833,-74.55,326040
San Pedro,Philippines,14.3583,121.0583,326001
Myrtle Beach,United States,33.7094,-78.8844,325829
Kōchi,Japan,33.5589,133.5314,325535
Jagdalpur,India,19.18,81.92,325463
Rāmpur,India,28.8,79,325248
Kuching,Malaysia,1.53,110.33,325132
Cotabato,Philippines,7.22,124.25,325079
Nantes,France,47.2181,-1.5528,325070
Henderson,United States,36.0133,-115.0381,324523
Cariacica,Brazil,-20.2639,-40.42,324285
Mobile,United States,30.6782,-88.1162,324067
Nazrēt,Ethiopia,8.5414,39.2689,324000
Safi,Morocco,32.2833,-9.2333,323888
Kikuyu,Kenya,-1.2463,36.6629,323881
Córdoba,Spain,37.89,-4.78,323763
Kluang,Malaysia,2.0383,103.3179,323762
Mekele,Ethiopia,13.4969,39.4769,323700
Pelotas,Brazil,-31.7719,-52.3428,323158
Vaughan,Canada,43.8333,-79.5,323103
Kaiyuan,China,23.7111,103.2461,323031
Tangdong,China,25.973,113.231,322990
Münster,Germany,51.9625,7.6256,322904
Vitória,Brazil,-20.3106,-40.2972,322869
Shimoga,India,13.9333,75.5667,322650
Uíge,Angola,-7.6167,15.05,322531
Hotan,China,37.1167,79.9167,322300
Minna,Nigeria,9.6139,6.5569,322163
Ning’an,China,44.341,129.483,322127
